,Company Name,Industry,Symbol,Series,ISIN Code
0,AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038
1,ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
2,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
3,Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
4,Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
5,Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
6,Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
7,Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
8,Ami Organics Ltd.,Healthcare,AMIORG,EQ,INE00FF01017
9,Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
10,Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ,INE988S01028
11,Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
12,Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
13,Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
14,Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
15,Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028
16,Azad Engineering Ltd.,Capital Goods,AZAD,EQ,INE02IJ01035
17,Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021
18,Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC,EQ,INE193E01025
19,Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021
20,Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE,EQ,INE164A01016
21,Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025
22,Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025
23,Bharat Bijlee Ltd.,Capital Goods,BBL,EQ,INE464A01036
24,Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020
25,Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023
26,Borosil Ltd.,Consumer Durables,BOROLTD,EQ,INE02PY01013
27,Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
28,CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
29,CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
30,Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
31,Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
32,Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
33,Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET,EQ,INE552D01024
34,Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018
35,DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015
36,DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
37,DCX Systems Ltd.,Capital Goods,DCXINDIA,EQ,INE0KL801015
38,Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017
39,Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
40,Den Networks Ltd.,Media Entertainment & Publication,DEN,EQ,INE947J01015
41,Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010
42,Dhanuka Agritech Ltd.,Chemicals,DHANUKA,EQ,INE435G01025
43,Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
44,Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
45,Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,EQ,INE385W01011
46,Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA,EQ,INE021O01019
47,Dreamfolks Services Ltd.,Services,DREAMFOLKS,EQ,INE0JS101016
48,Dummy Infibeam Avenues Ltd.,Media Entertainment & Publication,DUMMYINFBM,BE,DUM483S01020
49,Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ,INE221B01012
50,EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
51,ESAF Small Finance Bank Ltd.,Financial Services,ESAFSFB,EQ,INE818W01011
52,Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
53,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
