,Company Name,Industry,Symbol,Series,ISIN Code
0,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
1,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
2,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
3,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
4,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
5,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
6,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
7,Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
8,Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
9,Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
10,Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
11,Canara Bank,Financial Services,CANBK,EQ,INE476A01022
12,Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
13,DLF Ltd.,Realty,DLF,EQ,INE271C01023
14,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
15,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
16,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
17,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
18,Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
19,Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
20,ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
21,ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
22,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
23,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
24,Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
25,Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024
26,InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
27,JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
28,Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
29,Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
30,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
31,Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
32,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
33,NHPC Ltd.,Power,NHPC,EQ,INE848E01016
34,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
35,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
36,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
37,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
38,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
39,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
40,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
41,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
42,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
43,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
44,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
45,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
46,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039
47,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
48,Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
49,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
