,Company Name,Industry,Symbol,Series,ISIN Code
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
1,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
2,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
3,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
4,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
5,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
6,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
7,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
8,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
9,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
10,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
11,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
12,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
13,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
14,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
15,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
16,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
17,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
18,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
19,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
20,CESC Ltd.,Power,CESC,EQ,INE486A01021
21,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
22,Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
23,Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
24,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
25,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
26,Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
27,CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
28,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
29,Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
30,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
31,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
32,Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
33,Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
34,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
35,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
36,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
37,Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
38,Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
39,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
40,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
41,HBL Power Systems Ltd.,Automobile and Auto Components,HBLPOWER,EQ,INE292B01021
42,HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
43,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
44,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
45,IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010
46,IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
47,IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
48,ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
49,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
50,Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
51,Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
52,Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
53,JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
54,Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
55,Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
56,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
57,Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
58,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
59,Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
60,Kec International Ltd.,Construction,KEC,EQ,INE389H01022
61,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
62,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
63,Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
64,Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
65,NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
66,NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
67,NCC Ltd.,Construction,NCC,EQ,INE868B01028
68,NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018
69,Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
70,National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
71,Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
72,Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
73,PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
74,PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014
75,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
76,Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
77,RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
78,RITES Ltd.,Construction,RITES,EQ,INE320J01015
79,Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
80,Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
81,Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
82,Raymond Ltd.,Realty,RAYMOND,EQ,INE301A01014
83,Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
84,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011
85,Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023
86,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
87,Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
88,Swan Energy Ltd.,Diversified,SWANENERGY,EQ,INE665A01038
89,Tanla Platforms Ltd.,Information Technology,TANLA,EQ,INE483C01032
90,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
91,Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
92,The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
93,Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020
94,Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022
95,Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
96,UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018
97,Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031
98,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
99,Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
