,Company Name,Industry,Symbol,Series,ISIN Code
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
1,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
2,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
3,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
4,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
5,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
6,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
7,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
8,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
9,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
10,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
11,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
12,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
13,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
14,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
15,Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
16,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
17,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
18,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
19,Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
20,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
21,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
22,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
23,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
24,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
25,BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
26,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
27,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
28,Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
29,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
30,Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
31,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
32,Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
33,Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
34,Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
35,Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
36,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
37,Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
38,C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
39,CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
40,CESC Ltd.,Power,CESC,EQ,INE486A01021
41,CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
42,Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
43,Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
44,Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
45,Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
46,Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
47,Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
48,Cello World Ltd.,Consumer Durables,CELLO,EQ,INE0LMW01024
49,Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
50,Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
51,Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
52,Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
53,Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
54,Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
55,Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
56,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
57,Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
58,City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
59,Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
60,Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
61,Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
62,Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
63,CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
64,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
65,Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
66,DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
67,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
68,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
69,Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
70,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
71,E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031
72,EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
73,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
74,Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
75,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
76,Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
77,Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
78,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
79,Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
80,Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
81,Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
82,Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
83,Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
84,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
85,G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022
86,GE T&D India Ltd.,Capital Goods,GET&D,BE,INE200A01026
87,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
88,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
89,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
90,Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
91,Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
92,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
93,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
94,Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
95,Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025
96,Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
97,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030
98,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
99,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013
100,Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014
101,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025
102,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
103,H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016
104,HBL Power Systems Ltd.,Automobile and Auto Components,HBLPOWER,EQ,INE292B01021
105,HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
106,Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012
107,Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
108,Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
109,Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025
110,Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028
111,ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038
112,IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010
113,IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
114,INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034
115,IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
116,ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
117,Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017
118,India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012
119,Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
120,Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
121,Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
122,Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017
123,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036
124,JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
125,JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,EQ,INE786A01032
126,JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042
127,JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023
128,Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018
129,Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
130,Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032
131,Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
132,Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
133,Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
134,Justdial Ltd.,Consumer Services,JUSTDIAL,EQ,INE599M01018
135,Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB,EQ,INE668F01031
136,Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024
137,KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
138,KSB Ltd.,Capital Goods,KSB,EQ,INE999A01023
139,Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
140,Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
141,Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER,EQ,INE531A01024
142,Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
143,Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
144,Kec International Ltd.,Construction,KEC,EQ,INE389H01022
145,Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
146,Kirloskar Brothers Ltd.,Capital Goods,KIRLOSBROS,EQ,INE732A01036
147,Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010
148,Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025
149,Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
150,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
151,Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018
152,MMTC Ltd.,Services,MMTC,EQ,INE123F01029
