,Company Name,Industry,Symbol,Series,ISIN Code
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
1,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
2,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
3,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
4,AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038
5,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
6,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
7,ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD,EQ,INE491J01022
8,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
9,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
10,Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
11,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
12,Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
13,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
14,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
15,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
16,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
17,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
18,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
19,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
20,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
21,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
22,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
23,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
24,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
25,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
26,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
27,Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
28,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
29,Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
30,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
31,Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
32,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
33,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
34,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
35,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
36,Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
37,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
38,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
39,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
40,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
41,Ami Organics Ltd.,Healthcare,AMIORG,EQ,INE00FF01017
42,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
43,Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
44,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
45,Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
46,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
47,Apeejay Surrendra Park Hotels Ltd.,Consumer Services,PARKHOTELS,EQ,INE988S01028
48,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
49,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
50,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
51,Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
52,Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
53,Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
